em,_company_name,link,ticker,market_id,market_name
4577624,Астра ао,https://www.finam.ru/quote/moex/astr/,MOEX.ASTR:TQBR,1,МосБиржа акции
81820,АЛРОСА ао,https://www.finam.ru/quote/moex/alrs/,ALRS,1,МосБиржа акции
23,Сбербанк-п,https://www.finam.ru/quote/moex/sberp/,SBERP,1,МосБиржа акции
21018,Мечел ао,https://www.finam.ru/quote/moex/mtlr/,MTLR,1,МосБиржа акции
913710,TCS-гдр,https://www.finam.ru/quote/moex/tcsg/,TCSG,1,МосБиржа акции
16782,ММК,https://www.finam.ru/quote/moex/magn/,MAGN,1,МосБиржа акции
2101210,Совкомфлот,https://www.finam.ru/quote/moex/flot/,MOEX.FLOT:TQBR,1,МосБиржа акции
81114,ФосАгро ао,https://www.finam.ru/quote/moex/phor/,PHOR,1,МосБиржа акции
175924,Polymetal,https://www.finam.ru/quote/moex/poly/,POLY,1,МосБиржа акции
414279,РУСАЛ ао,https://www.finam.ru/quote/moex/rual/,RUAL,1,МосБиржа акции
2135775,Самолет ао,https://www.finam.ru/quote/moex/smlt/,MOEX.SMLT:TQBR,1,МосБиржа акции
2901666,"МКПАО ""ВК""",https://www.finam.ru/quote/moex/vkco/,MOEX.VKCO:TQBR,1,МосБиржа акции
2179435,OZON-адр,https://www.finam.ru/quote/moex/ozon/,MOEX.OZON:TQBR,1,МосБиржа акции
4553966,iСофтлайн,https://www.finam.ru/quote/moex/sofl/,MOEX.SOFL:TQBR,1,МосБиржа акции
2,Газпрнефть,https://www.finam.ru/quote/moex/sibn/,SIBN,1,МосБиржа акции
491944,FIVE-гдр,https://www.finam.ru/quote/moex/five/,FIVE,1,МосБиржа акции
19715,Система ао,https://www.finam.ru/quote/moex/afks/,AFKS,1,МосБиржа акции
20516,ИнтерРАОао,https://www.finam.ru/quote/moex/irao/,IRAO,1,МосБиржа акции
20066,БСП ао,https://www.finam.ru/quote/moex/bspb/,BSPB,1,МосБиржа акции
19629,НМТП ао,https://www.finam.ru/quote/moex/nmtp/,NMTP,1,МосБиржа акции
